  Nz=Nparall      Px    
 -2.8021E+01  4.4370E-05
 -2.8010E+01  3.2448E-05
 -2.7998E+01  2.2695E-05
 -2.7986E+01  1.5460E-05
 -2.7974E+01  1.1109E-05
 -2.7962E+01  9.9616E-06
 -2.7950E+01  1.2062E-05
 -2.7938E+01  1.6940E-05
 -2.7926E+01  2.3529E-05
 -2.7914E+01  3.0338E-05
 -2.7902E+01  3.5842E-05
 -2.7890E+01  3.8938E-05
 -2.7879E+01  3.9280E-05
 -2.7867E+01  3.7338E-05
 -2.7855E+01  3.4167E-05
 -2.7843E+01  3.0966E-05
 -2.7831E+01  2.8633E-05
 -2.7819E+01  2.7494E-05
 -2.7807E+01  2.7295E-05
 -2.7795E+01  2.7437E-05
 -2.7783E+01  2.7311E-05
 -2.7771E+01  2.6566E-05
 -2.7759E+01  2.5187E-05
 -2.7748E+01  2.3380E-05
 -2.7736E+01  2.1360E-05
 -2.7724E+01  1.9185E-05
 -2.7712E+01  1.6744E-05
 -2.7700E+01  1.3939E-05
 -2.7688E+01  1.0936E-05
 -2.7676E+01  8.3551E-06
 -2.7664E+01  7.2328E-06
 -2.7652E+01  8.7253E-06
 -2.7640E+01  1.3637E-05
 -2.7628E+01  2.1968E-05
 -2.7617E+01  3.2706E-05
 -2.7605E+01  4.3967E-05
 -2.7593E+01  5.3500E-05
 -2.7581E+01  5.9356E-05
 -2.7569E+01  6.0476E-05
 -2.7557E+01  5.6971E-05
 -2.7545E+01  4.9992E-05
 -2.7533E+01  4.1250E-05
 -2.7521E+01  3.2412E-05
 -2.7509E+01  2.4623E-05
 -2.7497E+01  1.8339E-05
 -2.7486E+01  1.3500E-05
 -2.7474E+01  9.9046E-06
 -2.7462E+01  7.5503E-06
 -2.7450E+01  6.7534E-06
 -2.7438E+01  7.9635E-06
 -2.7426E+01  1.1383E-05
 -2.7414E+01  1.6611E-05
 -2.7402E+01  2.2547E-05
 -2.7390E+01  2.7674E-05
 -2.7378E+01  3.0651E-05
 -2.7366E+01  3.0974E-05
 -2.7355E+01  2.9381E-05
 -2.7343E+01  2.7781E-05
 -2.7331E+01  2.8659E-05
 -2.7319E+01  3.4156E-05
 -2.7307E+01  4.5189E-05
 -2.7295E+01  6.0967E-05
 -2.7283E+01  7.9125E-05
 -2.7271E+01  9.6421E-05
 -2.7259E+01  1.0975E-04
 -2.7247E+01  1.1703E-04
 -2.7235E+01  1.1770E-04
 -2.7224E+01  1.1260E-04
 -2.7212E+01  1.0338E-04
 -2.7200E+01  9.1851E-05
 -2.7188E+01  7.9498E-05
 -2.7176E+01  6.7460E-05
 -2.7164E+01  5.6929E-05
 -2.7152E+01  4.9678E-05
 -2.7140E+01  4.8330E-05
 -2.7128E+01  5.6058E-05
 -2.7116E+01  7.5671E-05
 -2.7104E+01  1.0833E-04
 -2.7093E+01  1.5244E-04
 -2.7081E+01  2.0318E-04
 -2.7069E+01  2.5311E-04
 -2.7057E+01  2.9372E-04
 -2.7045E+01  3.1758E-04
 -2.7033E+01  3.2025E-04
 -2.7021E+01  3.0153E-04
 -2.7009E+01  2.6542E-04
 -2.6997E+01  2.1896E-04
 -2.6985E+01  1.7034E-04
 -2.6973E+01  1.2690E-04
 -2.6962E+01  9.3607E-05
 -2.6950E+01  7.2477E-05
 -2.6938E+01  6.2940E-05
 -2.6926E+01  6.2779E-05
 -2.6914E+01  6.9244E-05
 -2.6902E+01  7.9866E-05
 -2.6890E+01  9.2745E-05
 -2.6878E+01  1.0638E-04
 -2.6866E+01  1.1927E-04
 -2.6854E+01  1.2969E-04
 -2.6842E+01  1.3575E-04
 -2.6831E+01  1.3583E-04
 -2.6819E+01  1.2918E-04
 -2.6807E+01  1.1636E-04
 -2.6795E+01  9.9352E-05
 -2.6783E+01  8.1075E-05
 -2.6771E+01  6.4672E-05
 -2.6759E+01  5.2612E-05
 -2.6747E+01  4.6066E-05
 -2.6735E+01  4.4687E-05
 -2.6723E+01  4.6886E-05
 -2.6711E+01  5.0427E-05
 -2.6700E+01  5.3137E-05
 -2.6688E+01  5.3479E-05
 -2.6676E+01  5.0852E-05
 -2.6664E+01  4.5584E-05
 -2.6652E+01  3.8701E-05
 -2.6640E+01  3.1597E-05
 -2.6628E+01  2.5717E-05
 -2.6616E+01  2.2300E-05
 -2.6604E+01  2.2211E-05
 -2.6592E+01  2.5809E-05
 -2.6580E+01  3.2877E-05
 -2.6569E+01  4.2605E-05
 -2.6557E+01  5.3688E-05
 -2.6545E+01  6.4530E-05
 -2.6533E+01  7.3561E-05
 -2.6521E+01  7.9558E-05
 -2.6509E+01  8.1894E-05
 -2.6497E+01  8.0616E-05
 -2.6485E+01  7.6323E-05
 -2.6473E+01  6.9905E-05
 -2.6461E+01  6.2268E-05
